N,X,Y,Z
1,X2,Y3,Z0
2,(X3+X4+X5+X6+X7),Y3,Z0
3,X2,Y4,Z0
4,(X3+X4+X5+X6+X7),Y4,Z0
5,X2,Y3,Z1
6,(X3+X4+X5+X6+X7)/2,Y3,Z1
7,(X3+X4+X5+X6+X7),Y3,Z1
8,X2,Y4/2,Z1
9,(X3+X4+X5+X6+X7),Y4/2,Z1
10,X2,Y4,Z1
11,(X3+X4+X5+X6+X7)/2,Y4,Z1
12,(X3+X4+X5+X6+X7),Y4,Z1
13,X2,Y3,Z2
14,(X3+X4+X5+X6+X7)/2,Y3,Z2
15,(X3+X4+X5+X6+X7),Y3,Z2
16,X2,Y4/2,Z2
17,(X3+X4+X5+X6+X7),Y4/2,Z2
18,X2,Y4,Z2
19,(X3+X4+X5+X6+X7)/2,Y4,Z2
20,(X3+X4+X5+X6+X7),Y4,Z2
21,X2,Y3,Z3
22,(X3+X4+X5+X6+X7),Y3,Z3
23,X2,Y4,Z3
24,(X3+X4+X5+X6+X7),Y4,Z3
25,X1,Y1,Z4
26,X2,Y1,Z4
27,X3/3,Y1,Z4
28,X3-X3/3,Y1,Z4
29,X3,Y1,Z4
30,X4/3+X3,Y1,Z4
31,X3+X4-X4/3,Y1,Z4
32,X3+X4,Y1,Z4
33,X3+X4+X5,Y1,Z4
34,X6/3+X3+X4+X5,Y1,Z4
35,X3+X4+X5+X6-X6/3,Y1,Z4
36,X3+X4+X5+X6,Y1,Z4
37,X7/3+X3+X4+X5+X6,Y1,Z4
38,X3+X4+X5+X6+X7-X7/3,Y1,Z4
39,X3+X4+X5+X6+X7,Y1,Z4
40,X1,Y2,Z4
41,X2,Y2,Z4
42,X3,Y2,Z4
43,X3+X4,Y2,Z4
44,X3+X4+X5,Y2,Z4
45,X3+X4+X5+X6,Y2,Z4
46,X1,Y3,Z4
47,X2,Y3,Z4
48,X3/3,Y3,Z4
49,F1,Y3,Z4
50,X3-X3/3,Y3,Z4
51,X3,Y3,Z4
52,F1+F2,Y3,Z4
53,X4/3+X3,Y3,Z4
54,X3+X4-X4/3,Y3,Z4
55,F1+F2+F3,Y3,Z4
56,(X3+X4+X5+X6+X7)/2-M1/2,Y3,Z4
57,X3+X4,Y3,Z4
58,(X3+X4+X5+X6+X7)/2,Y3,Z4
59,X3+X4+X5,Y3,Z4
60,(X3+X4+X5+X6+X7)/2+M1/2,Y3,Z4
61,(X3+X4+X5+X6+X7)-F1-F2-F3,Y3,Z4
62,X6/3+X3+X4+X5,Y3,Z4
63,X3+X4+X5+X6-X6/3,Y3,Z4
64,(X3+X4+X5+X6+X7)-F1-F2,Y3,Z4
65,X3+X4+X5+X6,Y3,Z4
66,X7/3+X3+X4+X5+X6,Y3,Z4
67,(X3+X4+X5+X6+X7)-F1,Y3,Z4
68,X3+X4+X5+X6+X7-X7/3,Y3,Z4
69,(X3+X4+X5+X6+X7),Y3,Z4
70,F13,F9,Z4
71,(X3+X4+X5+X6+X7)/2,F9,Z4
72,(X3+X4+X5+X6+X7)-F13,F9,Z4
73,(X3+X4+X5+X6+X7)/2,F9+F11,Z4
74,X2,F5,Z4
75,(X3+X4+X5+X6+X7),F5,Z4
76,(F1+F2+F3+F4)-R3*COS(45*PI/180),(F5+F6+F7+F8)-R3*COS(45*PI/180),Z4
77,(F1+F2+F3+F4)+R3*COS(45*PI/180),(F5+F6+F7+F8)-R3*COS(45*PI/180),Z4
78,X1,Y4/6,Z4
79,X2,Y4/6,Z4
80,(F1+F2+F3+F4)-R2*COS(45*PI/180),(F5+F6+F7+F8)-R2*COS(45*PI/180),Z4
81,(F1+F2+F3+F4)+R2*COS(45*PI/180),(F5+F6+F7+F8)-R2*COS(45*PI/180),Z4
82,(F1+F2+F3+F4)-R1*COS(45*PI/180),(F5+F6+F7+F8)-R1*COS(45*PI/180),Z4
83,(F1+F2+F3+F4)+R1*COS(45*PI/180),(F5+F6+F7+F8)-R1*COS(45*PI/180),Z4
84,X2,F5+F6,Z4
85,(X3+X4+X5+X6+X7),F5+F6,Z4
86,F12,F10,Z4
87,(X3+X4+X5+X6+X7)-F12,F10,Z4
88,X1,Y4/6*2,Z4
89,X2,Y4/6*2,Z4
90,X2,F5+F6+F7,Z4
91,(X3+X4+X5+X6+X7),F5+F6+F7,Z4
92,X1,Y4/2,Z4
93,X2,Y4/2,Z4
94,F12,Y4/2,Z4
95,(F1+F2+F3+F4)-R1,Y4/2,Z4
96,(F1+F2+F3+F4)+R1,Y4/2,Z4
97,(X3+X4+X5+X6+X7)-F12,Y4/2,Z4
98,(X3+X4+X5+X6+X7),Y4/2,Z4
99,X2,Y4-F5-F6-F7,Z4
100,(X3+X4+X5+X6+X7),Y4-F5-F6-F7,Z4
101,X1,Y4/2+Y4/6,Z4
102,X2,Y4/2+Y4/6,Z4
103,F12,Y4-F10,Z4
104,(X3+X4+X5+X6+X7)-F12,Y4-F10,Z4
105,X2,Y4-F5-F6,Z4
106,(X3+X4+X5+X6+X7),Y4-F5-F6,Z4
107,(F1+F2+F3+F4)-R1*COS(45*PI/180),(F5+F6+F7+F8)+R1*COS(45*PI/180),Z4
108,(F1+F2+F3+F4)+R1*COS(45*PI/180),(F5+F6+F7+F8)+R1*COS(45*PI/180),Z4
109,(F1+F2+F3+F4)-R2*COS(45*PI/180),(F5+F6+F7+F8)+R2*COS(45*PI/180),Z4
110,(F1+F2+F3+F4)+R2*COS(45*PI/180),(F5+F6+F7+F8)+R2*COS(45*PI/180),Z4
111,X1,Y4/2+2*Y4/6,Z4
112,X2,Y4/2+2*Y4/6,Z4
113,(F1+F2+F3+F4)-R3*COS(45*PI/180),(F5+F6+F7+F8)+R3*COS(45*PI/180),Z4
114,(F1+F2+F3+F4)+R3*COS(45*PI/180),(F5+F6+F7+F8)+R3*COS(45*PI/180),Z4
115,X2,Y4-F5,Z4
116,(X3+X4+X5+X6+X7),Y4-F5,Z4
117,(X3+X4+X5+X6+X7)/2,F5+F6+F7+F8+R1,Z4
118,F13,Y4-F9,Z4
119,(X3+X4+X5+X6+X7)/2,Y4-F9,Z4
120,(X3+X4+X5+X6+X7)-F13,Y4-F9,Z4
121,X1,Y4,Z4
122,X2,Y4,Z4
123,F1,Y4,Z4
124,F1+F2,Y4,Z4
125,F1+F2+F3,Y4,Z4
126,(X3+X4+X5+X6+X7)/2-M1/2,Y4,Z4
127,X3+X4,Y4,Z4
128,(X3+X4+X5+X6+X7)/2,Y4,Z4
129,X3+X4+X5,Y4,Z4
130,(X3+X4+X5+X6+X7)/2+M1/2,Y4,Z4
131,(X3+X4+X5+X6+X7)-F1-F2-F3,Y4,Z4
132,(X3+X4+X5+X6+X7)-F1-F2,Y4,Z4
133,(X3+X4+X5+X6+X7)-F1,Y4,Z4
134,(X3+X4+X5+X6+X7),Y4,Z4
135,(X3+X4+X5+X6+X7)/2-M1/2,M3+M4+M5,Z4+Z5-M6
136,(X3+X4+X5+X6+X7)/2-M2/2,M3+M4+M5,Z4+Z5-M6
137,(X3+X4+X5+X6+X7)/2+M2/2,M3+M4+M5,Z4+Z5-M6
138,(X3+X4+X5+X6+X7)/2+M1/2,M3+M4+M5,Z4+Z5-M6
139,(X3+X4+X5+X6+X7)/2,Y4/2,Z4+Z5-M6
140,(X3+X4+X5+X6+X7)/2-M1/2,Y4-M3-M4-M5,Z4+Z5-M6
141,(X3+X4+X5+X6+X7)/2-M2/2,Y4-M3-M4-M5,Z4+Z5-M6
142,(X3+X4+X5+X6+X7)/2+M2/2,Y4-M3-M4-M5,Z4+Z5-M6
143,(X3+X4+X5+X6+X7)/2+M1/2,Y4-M3-M4-M5,Z4+Z5-M6
144,(X3+X4+X5+X6+X7)/2-M1/2,Y3,Z4+Z5
145,(X3+X4+X5+X6+X7)/2+M1/2,Y3,Z4+Z5
146,(X3+X4+X5+X6+X7)/2-M1/2,M3,Z4+Z5
147,(X3+X4+X5+X6+X7)/2+M1/2,M3,Z4+Z5
148,(X3+X4+X5+X6+X7)/2-M1/2,M3+M4/3,Z4+Z5
149,(X3+X4+X5+X6+X7)/2+M1/2,M3+M4/3,Z4+Z5
150,(X3+X4+X5+X6+X7)/2-M1/2,M3+M4*2/3,Z4+Z5
151,(X3+X4+X5+X6+X7)/2+M1/2,M3+M4*2/3,Z4+Z5
152,(X3+X4+X5+X6+X7)/2-M1/2,M3+M4,Z4+Z5
153,(X3+X4+X5+X6+X7)/2+M1/2,M3+M4,Z4+Z5
154,(X3+X4+X5+X6+X7)/2-M1/2,M3+M4+M5,Z4+Z5
155,(X3+X4+X5+X6+X7)/2+M1/2,M3+M4+M5,Z4+Z5
156,(X3+X4+X5+X6+X7)/2-M1/2,Y4-M3-M4-M5,Z4+Z5
157,(X3+X4+X5+X6+X7)/2+M1/2,Y4-M3-M4-M5,Z4+Z5
158,(X3+X4+X5+X6+X7)/2-M1/2,Y4-M3-M4,Z4+Z5
159,(X3+X4+X5+X6+X7)/2+M1/2,Y4-M3-M4,Z4+Z5
160,(X3+X4+X5+X6+X7)/2-M1/2,Y4-M3-M4*2/3,Z4+Z5
161,(X3+X4+X5+X6+X7)/2+M1/2,Y4-M3-M4*2/3,Z4+Z5
162,(X3+X4+X5+X6+X7)/2-M1/2,Y4-M3-M4/3,Z4+Z5
163,(X3+X4+X5+X6+X7)/2+M1/2,Y4-M3-M4/3,Z4+Z5
164,(X3+X4+X5+X6+X7)/2-M1/2,Y4-M3,Z4+Z5
165,(X3+X4+X5+X6+X7)/2+M1/2,Y4-M3,Z4+Z5
166,(X3+X4+X5+X6+X7)/2-M1/2,Y4,Z4+Z5
167,(X3+X4+X5+X6+X7)/2+M1/2,Y4,Z4+Z5
168,(Z6)*TAN(PI*(ALFA/2)/180),Y3,Z4+Z6
169,(X3+X4+X5+X6+X7)-(Z6)*TAN(PI*(ALFA/2)/180),Y3,Z4+Z6
170,(Z6)*TAN(PI*(ALFA/2)/180),Y4/2,Z4+Z6
171,(X3+X4+X5+X6+X7)-(Z6)*TAN(PI*(ALFA/2)/180),Y4/2,Z4+Z6
172,(Z6)*TAN(PI*(ALFA/2)/180),Y4,Z4+Z6
173,(X3+X4+X5+X6+X7)-(Z6)*TAN(PI*(ALFA/2)/180),Y4,Z4+Z6
174,X1,Y2,Z4+Z7
175,X2,Y2,Z4+Z7
176,Z7*TAN(PI*(ALFA/2)/180),Y2,Z4+Z7
177,X3,Y2,Z4+Z7
178,X3+X4,Y2,Z4+Z7
179,X3+X4+X5,Y2,Z4+Z7
180,X3+X4+X5+X6,Y2,Z4+Z7
181,(X3+X4+X5+X6+X7)-(Z7)*TAN(PI*(ALFA/2)/180),Y2,Z4+Z7
182,X3+X4+X5+X6+X8,Y2,Z4+Z7
183,X3+X4+X5+X6+X8+X9,Y2,Z4+Z7
184,X1,Y3,Z4+Z7
185,Z7*TAN(PI*(ALFA/2)/180),Y3,Z4+Z7
186,(X3+X4+X5+X6+X7)-(Z7)*TAN(PI*(ALFA/2)/180),Y3,Z4+Z7
187,X1,Y4/6,Z4+Z7
188,X1,Y4/6*2,Z4+Z7
189,X1,Y4/2,Z4+Z7
190,Z7*TAN(PI*(ALFA/2)/180),Y4/2,Z4+Z7
191,(X3+X4+X5+X6+X7)-(Z7)*TAN(PI*(ALFA/2)/180),Y4/2,Z4+Z7
192,X1,Y4/2+Y4/6,Z4+Z7
193,X1,Y4/2+2*Y4/6,Z4+Z7
194,X1,Y4,Z4+Z7
195,Z7*TAN(PI*(ALFA/2)/180),Y4,Z4+Z7
196,X3+X4,Y4,Z4+Z7
197,X3+X4+X5,Y4,Z4+Z7
198,(X3+X4+X5+X6+X7)-(Z7)*TAN(PI*(ALFA/2)/180),Y4,Z4+Z7
199,X3+X4,Y2,Z4+Z8
200,X3+X4+X5,Y2,Z4+Z8
201,X3+X4,Y4,Z4+Z8
202,X3+X4+X5,Y4,Z4+Z8
203,X1,Y2,Z4+2*Z7
204,Z7*2*TAN(PI*(ALFA/2)/180),Y2,Z4+2*Z7
205,X3,Y2,Z4+2*Z7
206,X3+X4,Y2,Z4+2*Z7
207,X3+X4+X5,Y2,Z4+2*Z7
208,X3+X4+X5+X6,Y2,Z4+2*Z7
209,(X3+X4+X5+X6+X7)-(2*Z7)*TAN(PI*(ALFA/2)/180),Y2,Z4+2*Z7
210,X3+X4+X5+X6+X8,Y2,Z4+2*Z7
211,X1,Y3,Z4+2*Z7
212,Z7*2*TAN(PI*(ALFA/2)/180),Y3,Z4+2*Z7
213,(X3+X4+X5+X6+X7)-(2*Z7)*TAN(PI*(ALFA/2)/180),Y3,Z4+2*Z7
214,X1,Y4/6,Z4+2*Z7
215,X1,Y4/6*2,Z4+2*Z7
216,X1,Y4/2,Z4+2*Z7
217,Z7*2*TAN(PI*(ALFA/2)/180),Y4/2,Z4+2*Z7
218,(X3+X4+X5+X6+X7)-(2*Z7)*TAN(PI*(ALFA/2)/180),Y4/2,Z4+2*Z7
219,X1,Y4/2+Y4/6,Z4+2*Z7
220,X1,Y4/2+2*Y4/6,Z4+2*Z7
221,X1,Y4,Z4+2*Z7
222,Z7*2*TAN(PI*(ALFA/2)/180),Y4,Z4+2*Z7
223,X3+X4,Y4,Z4+2*Z7
224,X3+X4+X5,Y4,Z4+2*Z7
225,(X3+X4+X5+X6+X7)-(2*Z7)*TAN(PI*(ALFA/2)/180),Y4,Z4+2*Z7
226,X1,Y2,Z4+Z9
227,X3,Y2,Z4+Z9
228,X3+X4,Y2,Z4+Z9
229,X3+X4+X5,Y2,Z4+Z9
230,X3+X4+X5+X6,Y2,Z4+Z9
231,X3+X4+X5+X6+X8,Y2,Z4+Z9
232,X3+X4+X5+X6+X8+X9,Y2,Z4+Z9
233,X1,Y3,Z4+Z9
234,X3,Y3,Z4+Z9
235,X3+X4,Y3,Z4+Z9
236,(X3+X4+X5+X6+X7)/2,Y3,Z4+Z9
237,X3+X4+X5,Y3,Z4+Z9
238,X3+X4+X5+X6,Y3,Z4+Z9
239,X1,Y4/6,Z4+Z9
240,(X3+X4+X5+X6+X7)/2,Y4/4,Z4+Z9
241,X1,Y4/6*2,Z4+Z9
242,X1,Y4/2,Z4+Z9
243,X3,Y4/2,Z4+Z9
244,X3+X4,Y4/2,Z4+Z9
245,(X3+X4+X5+X6+X7)/2,Y4/2,Z4+Z9
246,X3+X4+X5,Y4/2,Z4+Z9
247,X3+X4+X5+X6,Y4/2,Z4+Z9
248,X1,Y4/2+Y4/6,Z4+Z9
249,(X3+X4+X5+X6+X7)/2,Y4*3/4,Z4+Z9
250,X1,Y4/2+2*Y4/6,Z4+Z9
251,X1,Y4,Z4+Z9
252,X3,Y4,Z4+Z9
253,X3+X4,Y4,Z4+Z9
254,(X3+X4+X5+X6+X7)/2,Y4,Z4+Z9
255,X3+X4+X5,Y4,Z4+Z9
256,X3+X4+X5+X6,Y4,Z4+Z9
257,X1,Y2,Z4+Z9+Z7
258,X3,Y2,Z4+Z9+Z7
259,(Z7+Z9)*TAN(PI*(ALFA/2)/180),Y2,Z4+Z9+Z7
260,(X3+X4+X5+X6+X7)-(Z9+Z7)*TAN(PI*(ALFA/2)/180),Y2,Z4+Z9+Z7
261,X3+X4+X5+X6,Y2,Z4+Z9+Z7
262,(X3+X4+X5+X6+X7)+X3,Y2,Z4+Z9+Z7
263,X1,Y3,Z4+Z9+Z7
264,(Z7+Z9)*TAN(PI*(ALFA/2)/180),Y3,Z4+Z9+Z7
265,(X3+X4+X5+X6+X7)-(Z9+Z7)*TAN(PI*(ALFA/2)/180),Y3,Z4+Z9+Z7
266,X1,Y4/6,Z4+Z9+Z7
267,X1,Y4/6*2,Z4+Z9+Z7
268,X1,Y4/2,Z4+Z9+Z7
269,(Z7+Z9)*TAN(PI*(ALFA/2)/180),Y4/2,Z4+Z9+Z7
270,(X3+X4+X5+X6+X7)-(Z9+Z7)*TAN(PI*(ALFA/2)/180),Y4/2,Z4+Z9+Z7
271,X1,Y4/2+Y4/6,Z4+Z9+Z7
272,X1,Y4/2+2*Y4/6,Z4+Z9+Z7
273,X1,Y4,Z4+Z9+Z7
274,(Z7+Z9)*TAN(PI*(ALFA/2)/180),Y4,Z4+Z9+Z7
275,(X3+X4+X5+X6+X7)-(Z9+Z7)*TAN(PI*(ALFA/2)/180),Y4,Z4+Z9+Z7
276,X1,Y2,Z4+Z9+2*Z7
277,X3,Y2,Z4+Z9+2*Z7
278,(Z7*2+Z9)*TAN(PI*(ALFA/2)/180),Y2,Z4+Z9+2*Z7
279,(X3+X4+X5+X6+X7)-(Z9+2*Z7)*TAN(PI*(ALFA/2)/180),Y2,Z4+Z9+2*Z7
280,X3+X4+X5+X6,Y2,Z4+Z9+2*Z7
281,(X3+X4+X5+X6+X7)+X3,Y2,Z4+Z9+2*Z7
282,X1,Y3,Z4+Z9+2*Z7
283,(Z7*2+Z9)*TAN(PI*(ALFA/2)/180),Y3,Z4+Z9+2*Z7
284,(X3+X4+X5+X6+X7)-(Z9+2*Z7)*TAN(PI*(ALFA/2)/180),Y3,Z4+Z9+2*Z7
285,X1,Y4/6,Z4+Z9+2*Z7
286,X1,Y4/6*2,Z4+Z9+2*Z7
287,X1,Y4/2,Z4+Z9+2*Z7
288,(Z7*2+Z9)*TAN(PI*(ALFA/2)/180),Y4/2,Z4+Z9+2*Z7
289,(X3+X4+X5+X6+X7)-(Z9+2*Z7)*TAN(PI*(ALFA/2)/180),Y4/2,Z4+Z9+2*Z7
290,X1,Y4/2+Y4/6,Z4+Z9+2*Z7
291,X1,Y4/2+2*Y4/6,Z4+Z9+2*Z7
292,X1,Y4,Z4+Z9+2*Z7
293,(Z7*2+Z9)*TAN(PI*(ALFA/2)/180),Y4,Z4+Z9+2*Z7
294,(X3+X4+X5+X6+X7)-(Z9+2*Z7)*TAN(PI*(ALFA/2)/180),Y4,Z4+Z9+2*Z7
295,X1,Y2,Z4+Z9*2
296,X3,Y2,Z4+Z9*2
297,(Z9*2)*TAN(PI*(ALFA/2)/180),Y2,Z4+Z9*2
298,X3+X4+X5+X6,Y2,Z4+Z9*2
299,(X3+X4+X5+X6+X7)+X3,Y2,Z4+Z9*2
300,X1,Y3,Z4+Z9*2
301,(X3+X4+X5+X6+X7)/2,Y3,Z4+Z9*2
302,(X3+X4+X5+X6+X7)/2,Y4/4,Z4+Z9*2
303,(X3+X4+X5+X6+X7)/2,Y4/2,Z4+Z9*2
304,(X3+X4+X5+X6+X7)/2,Y4*3/4,Z4+Z9*2
305,(X3+X4+X5+X6+X7)/2,Y4,Z4+Z9*2
306,X1,Y3,Z4+Z10
307,X1,Y4/6,Z4+Z10
308,X1,Y4/6*2,Z4+Z10
309,X1,Y4/2,Z4+Z10
310,X1,Y4/2+Y4/6,Z4+Z10
311,X1,Y4/2+2*Y4/6,Z4+Z10
312,X1,Y4,Z4+Z10
313,(X3+X4+X5+X6+X7)/2,Y3,Z4+Z10+Z11
314,(X3+X4+X5+X6+X7)/2,Y4/6,Z4+Z10+Z11
315,(X3+X4+X5+X6+X7)/2,Y4/6*2,Z4+Z10+Z11
316,(X3+X4+X5+X6+X7)/2,Y4/2,Z4+Z10+Z11
317,(X3+X4+X5+X6+X7)/2,Y4/2+Y4/6,Z4+Z10+Z11
318,(X3+X4+X5+X6+X7)/2,Y4/2+2*Y4/6,Z4+Z10+Z11
319,(X3+X4+X5+X6+X7)/2,Y4,Z4+Z10+Z11
